label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
q5,2097152,2MB,2,59.1
q5,2097152,2MB,3,57.1
q5,2097152,2MB,4,52.3
q5,2097152,2MB,5,48.3
q5,2097152,2MB,6,42.6
q5,2097152,2MB,7,31.1
q5,2097152,2MB,8,25.9
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,64.9
q5,2097152,2MB,2,60.1
q5,2097152,2MB,3,58.0
q5,2097152,2MB,4,53.2
q5,2097152,2MB,5,49.1
q5,2097152,2MB,6,43.2
q5,2097152,2MB,7,31.4
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,65.8
q5,2097152,2MB,2,61.3
q5,2097152,2MB,3,59.2
q5,2097152,2MB,4,54.2
q5,2097152,2MB,5,50.2
q5,2097152,2MB,6,44.2
q5,2097152,2MB,7,31.8
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.5
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.6
q5,2097152,2MB,2,60.3
q5,2097152,2MB,3,58.3
q5,2097152,2MB,4,53.5
q5,2097152,2MB,5,49.5
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.8
q5,2097152,2MB,2,60.3
q5,2097152,2MB,3,58.3
q5,2097152,2MB,4,53.3
q5,2097152,2MB,5,49.4
q5,2097152,2MB,6,43.6
q5,2097152,2MB,7,31.7
q5,2097152,2MB,8,26.3
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.1
q5,2097152,2MB,1,64.5
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,58.0
q5,2097152,2MB,4,53.1
q5,2097152,2MB,5,49.1
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,32.0
q5,2097152,2MB,8,26.6
q5,2097152,2MB,9,24.9
q5,2097152,2MB,10,18.4
q5,2097152,2MB,1,64.3
q5,2097152,2MB,2,59.9
q5,2097152,2MB,3,57.8
q5,2097152,2MB,4,52.9
q5,2097152,2MB,5,48.9
q5,2097152,2MB,6,43.1
q5,2097152,2MB,7,31.7
q5,2097152,2MB,8,26.4
q5,2097152,2MB,9,24.7
q5,2097152,2MB,10,18.1
q5,2097152,2MB,1,64.4
q5,2097152,2MB,2,60.0
q5,2097152,2MB,3,58.0
q5,2097152,2MB,4,53.2
q5,2097152,2MB,5,49.2
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,65.5
q5,2097152,2MB,2,61.1
q5,2097152,2MB,3,59.1
q5,2097152,2MB,4,54.3
q5,2097152,2MB,5,50.2
q5,2097152,2MB,6,44.3
q5,2097152,2MB,7,32.0
q5,2097152,2MB,8,26.6
q5,2097152,2MB,9,24.9
q5,2097152,2MB,10,18.3
q5,2097152,2MB,1,72.1
q5,2097152,2MB,2,67.7
q5,2097152,2MB,3,65.7
q5,2097152,2MB,4,60.9
q5,2097152,2MB,5,56.9
q5,2097152,2MB,6,51.0
q5,2097152,2MB,7,32.0
q5,2097152,2MB,8,26.5
q5,2097152,2MB,9,24.7
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.6
q5,2097152,2MB,2,60.2
q5,2097152,2MB,3,58.2
q5,2097152,2MB,4,53.3
q5,2097152,2MB,5,49.3
q5,2097152,2MB,6,43.5
q5,2097152,2MB,7,31.9
q5,2097152,2MB,8,26.4
q5,2097152,2MB,9,24.6
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,64.7
q5,2097152,2MB,2,60.3
q5,2097152,2MB,3,58.3
q5,2097152,2MB,4,53.5
q5,2097152,2MB,5,49.5
q5,2097152,2MB,6,43.8
q5,2097152,2MB,7,31.7
q5,2097152,2MB,8,26.5
q5,2097152,2MB,9,24.8
q5,2097152,2MB,10,18.2
q5,2097152,2MB,1,65.1
q5,2097152,2MB,2,60.6
q5,2097152,2MB,3,58.5
q5,2097152,2MB,4,53.4
q5,2097152,2MB,5,49.4
q5,2097152,2MB,6,43.5
q5,2097152,2MB,7,32.1
q5,2097152,2MB,8,26.7
q5,2097152,2MB,9,25.0
q5,2097152,2MB,10,18.5
q5,2097152,2MB,1,65.4
q5,2097152,2MB,2,60.8
q5,2097152,2MB,3,58.8
q5,2097152,2MB,4,53.8
q5,2097152,2MB,5,49.8
q5,2097152,2MB,6,43.8
q5,2097152,2MB,7,32.1
q5,2097152,2MB,8,26.8
q5,2097152,2MB,9,25.1
q5,2097152,2MB,10,18.5
q5,2097152,2MB,1,64.7
q5,2097152,2MB,2,60.2
q5,2097152,2MB,3,58.2
q5,2097152,2MB,4,53.2
q5,2097152,2MB,5,49.2
q5,2097152,2MB,6,43.3
q5,2097152,2MB,7,31.1
q5,2097152,2MB,8,25.8
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,64.7
q5,2097152,2MB,2,59.9
q5,2097152,2MB,3,57.9
q5,2097152,2MB,4,52.8
q5,2097152,2MB,5,48.8
q5,2097152,2MB,6,43.1
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.3
q5,2097152,2MB,9,24.7
q5,2097152,2MB,10,18.0
q5,2097152,2MB,1,65.4
q5,2097152,2MB,2,60.8
q5,2097152,2MB,3,58.7
q5,2097152,2MB,4,53.8
q5,2097152,2MB,5,49.7
q5,2097152,2MB,6,43.7
q5,2097152,2MB,7,31.6
q5,2097152,2MB,8,26.2
q5,2097152,2MB,9,24.3
q5,2097152,2MB,10,17.8
q5,2097152,2MB,1,64.2
q5,2097152,2MB,2,59.7
q5,2097152,2MB,3,57.7
q5,2097152,2MB,4,52.8
q5,2097152,2MB,5,48.8
q5,2097152,2MB,6,43.0
q5,2097152,2MB,7,31.2
q5,2097152,2MB,8,25.8
q5,2097152,2MB,9,24.2
q5,2097152,2MB,10,17.7
q5,2097152,2MB,1,64.2
q5,2097152,2MB,2,59.8
q5,2097152,2MB,3,57.8
q5,2097152,2MB,4,53.0
q5,2097152,2MB,5,49.0
q5,2097152,2MB,6,43.1
q5,2097152,2MB,7,31.3
q5,2097152,2MB,8,26.0
q5,2097152,2MB,9,24.4
q5,2097152,2MB,10,17.9
